x,z,spin_rate,release_velo,pitch_type,bats,release_x,release_y,release_z,pfx_x,pfx_z,extension,throws,bs_count,pitch_result,game_state,ump,pitcherid,catcherid,all_star
12.52693566,34.11428372,2399.829842,95.81853477,FF,L,-3.29,54.36,5.39,-6.1,8.3,6.14,R,0-0,ball,---:2,6,1,1,after
13.47559883,47.77143684,2374.012763,95.57829867,FF,L,-3.42,54.43,5.23,-6.63,7.6,6.066,R,Jan-00,ball,---:2,6,1,1,after
-1.560495559,5.798001286,1696.307238,86.25957194,CH,L,-3.4,54.29,5.19,-9.64,5.16,6.213,R,2-Feb,ball,---:2,6,1,1,after
-16.36568736,21.88804069,2602.113845,94.80073267,FF,L,-3.35,54.23,5.46,-7.87,9.75,6.273,R,0-0,ball,---:0,6,1,1,after
7.092058953,25.64453602,2583.628084,94.96899971,FF,R,-3.29,54.25,5.42,-7.95,7.51,6.251,R,0-0,called_strike,---:1,6,1,1,after
3.43499833,14.79844582,2527.668889,85.33015654,SL,R,-3.53,54.53,5.11,-0.62,2.56,5.968,R,0-1,ball,---:1,6,1,1,after
18.42105925,11.2326667,2538.034883,86.6606861,SL,R,-3.49,54.59,5.13,0.33,2.11,5.907,R,1-Jan,ball,---:1,6,1,1,after
-11.30695091,-1.764708791,1476.977237,84.58107151,CH,L,-3.55,54.57,5.28,-9.72,1.12,5.934,R,0-1,ball,---:2,6,1,1,after
-3.888586648,45.50372358,2522.986426,75.52937614,CB,L,-3.36,54.91,5.45,5.45,-3.46,5.591,R,0-0,ball,---:1,6,1,1,after
10.15082506,13.29401792,1347.112932,81.72825893,CH,L,-3.4,54.32,5.26,-9.64,2.23,6.181,R,0-1,ball,1--:1,6,1,1,after
20.9404493,17.95547115,2499.967918,88.12978188,CT,L,-3.47,54.41,5.26,0.11,5.31,6.086,R,2-Jan,ball,1--:1,6,1,1,after
-9.179297863,18.2287829,2769.618466,76.41954098,CB,L,-3.33,54.9,5.41,6.84,-3.32,5.596,R,2-Feb,ball,1--:1,6,1,1,after
14.03081126,25.01891368,2510.458751,95.50124176,FF,L,-3.39,54.23,5.14,-7.35,7.35,6.272,R,2-Mar,ball,1--:1,6,1,1,after
14.48371867,25.71322275,2552.689729,95.0476296,FF,R,-3.53,54.2,5.08,-7.97,8.1,6.299,R,0-0,ball,12-:1,6,1,1,after
18.83746491,24.85048658,2563.351241,94.26795395,FF,R,-3.36,54.18,5.39,-6.98,8.96,6.319,R,Jan-00,ball,12-:1,6,1,1,after
6.418401242,21.22496781,2306.45358,84.25788687,SL,R,-3.61,53.99,5.01,0.2,2.07,6.511,R,Feb-00,called_strike,12-:1,6,1,1,after
13.89535349,24.25339863,2585.777107,94.71845683,FF,R,-3.45,54.17,5.14,-9.82,9.83,6.325,R,1-Feb,ball,12-:1,6,1,1,after
22.95793436,12.26494177,2577.797758,93.57821329,FF,R,-3.34,54.2,5.25,-8.98,10.59,6.3,R,1-Mar,ball,12-:1,6,1,1,after
-1.257144509,15.80617129,1354.550567,81.80285718,CH,R,-3.62,54.27,5.25,-9.63,2.92,6.227,R,0-2,ball,123:01:00,6,1,1,after
-15.2728109,42.94674025,2603.800766,96.0402833,FF,R,-3.52,54.43,5.22,-8.19,7.85,6.073,R,2-Jan,ball,123:01:00,6,1,1,after
1.895577762,16.21018148,NA,85.83093679,SL,R,-3.62,54.46,5.06,2.83,0.8,6.045,R,2-Feb,ball,123:01:00,6,1,1,after
-25.42950901,35.63053953,2393.280468,97.03992349,FF,L,-3.42,54.54,5.3,-7.08,7.1,5.963,R,0-0,ball,---:0,8,1,1,after
-18.61208489,20.29355094,2350.680824,97.93996684,FF,L,-3.46,54.32,5.28,-7.18,7.31,6.183,R,Jan-00,ball,---:0,8,1,1,after
-5.879643982,23.51913237,2788.50299,82.36128862,CB,L,-3.31,54.81,5.36,5.7,-3,5.694,R,1-Feb,called_strike,---:0,8,1,1,after
2.291805465,16.6204625,2502.618473,98.74138391,FF,L,-3.39,54.16,5.16,-7.16,8.84,6.34,R,2-Feb,ball,---:0,8,1,1,after
-5.450740835,16.65630628,2559.941777,99.17156282,FF,L,-3.38,54.2,5.03,-7.68,8.2,6.297,R,2-Mar,ball,---:0,8,1,1,after
9.634266495,38.43656624,2756.981938,99.27047445,FF,L,-3.32,54.42,5.37,-6.25,9.1,6.08,R,0-0,ball,---:0,8,1,1,after
-0.493662964,0.218217092,2972.72325,82.44964528,CB,L,-3.3,54.64,5.49,6.19,-4.92,5.864,R,1-Jan,ball,---:0,8,1,1,after
-3.519629681,9.563286569,2425.606245,92.87655528,CT,L,-3.35,54.2,5.17,-0.72,5.12,6.302,R,2-Feb,ball,---:0,8,1,1,after
-0.396213504,14.77124385,NA,87.1581876,SL,R,-3.55,54.5,5.01,2.96,-0.68,6.002,R,0-1,ball,---:1,8,1,1,after
